code,handle,title,decision,n_images,image_verified,image_match_score,image_sources,primary_url,id,thumbnail
,test-swing,Test Swing Set,no_vendor_doc,0,,,,,prod_01KNKTKWBFBY94HC11DRJFFBAZ,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
72-21060-11211411,leka-project-kogq3oha,PAWTASTIC TUNNEL,vendor_doc_no_images,0,,,,,prod_01KNKVHKQBWMZ7TS1KCR5KF7GC,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
75-21003-122131,leka-project-jeq14yr9,Stand & Spin,vendor_doc_no_images,0,,,,,prod_01KNKVHRNPKCTQA6W24W50T7MQ,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
75-21014-118131,leka-project-wnmab9f3,Twirl A Whirl,vendor_doc_no_images,0,,,,,prod_01KNKVHVDPXB8E6GVENYF9EFBX,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
75-21032-122131,leka-project-3pwa22ij,Hang & Spin,vendor_doc_no_images,0,,,,,prod_01KNKVHX6RQ6DVK9ZWQ26WAJHE,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
76-21079-112118,leka-project-0k6an6h6,School Bus (Galena),vendor_doc_no_images,0,,,,,prod_01KNKVJ094MD9B86B4YFGAAVKN,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-490899,leka-project-edv04n0n,Car Wash Splash Center™,vendor_doc_no_images,0,,1.0,"The image shows a felt board emotion learning toy, which is completely different from the described 'Car Wash Splash Center™' and does not fit the typical categories of playground/furniture/outdoor equipment.",,prod_01KNKVJBV043DJ6W65J15QFWDD,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-497399,leka-project-6me52s8u,My First Holiday Train & Track,vendor_doc_no_images,0,,1.0,"The image displays an educational felt activity board for creating faces, which is entirely different from the described 'My First Holiday Train & Track' product.",,prod_01KNKVJER8YYSY0VQBT5T4T5VF,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-5433KR,leka-project-uwym9iou,Outdoor Storage Bench,vendor_doc_no_images,0,,1.0,"The image shows a large children's play structure with multiple levels, a slide, and climbing elements, which is not an outdoor storage bench as described.",,prod_01KNKVJFMB26BWXSYNS93SNVF7,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-729699,leka-project-ld0hrrlh,Infant To Toddler Swing (Pink),vendor_doc_no_images,0,,1.0,"The image displays a multi-level playground climber with a slide, not an 'Infant To Toddler Swing (Pink)' as described in the product details. The color is also not pink.",,prod_01KNKVJJ1ZAH9RM5J6DC4RF54C,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-740500,leka-project-m297k6do,Crabbie Sandbox™,vendor_doc_no_images,0,,1.0,"The image shows a multi-level water table designed for water play, while the product description is for a 'Crabbie Sandbox™', which is a different type of product typically used for sand.",,prod_01KNKVJJGP97SZ7552RP2ZJAM6,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-WSD2002,leka-project-7jd3hq6x,Police Coupe,vendor_doc_no_images,0,,1.0,"The image shows a large children's multi-activity play structure, not a 'Police Coupe' which would be a type of toy car.",,prod_01KNKVJS0KND20JDF8NPGHFQG6,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-WSD2003,leka-project-bjel1yxt,Dinosaur Coupe,vendor_doc_no_images,0,,0.9,"The image displays a multi-level children's play structure with a slide and steps, but it does not visually resemble a 'Dinosaur Coupe'. There are no clear dinosaur or car-like features present.",,prod_01KNKVJSEQNWYDB196XE8MQ6HB,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A4-WSD4001,leka-project-zpavxei9,Rectangular Picnic Table,vendor_doc_no_images,0,,,,,prod_01KNKVJTRGK16K1JG3XVDBY7PS,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
A8-20-1232,leka-project-ui52iz6z,Viking Toys Ecoline Midi Tractor,vendor_doc_no_images,0,,1.0,"The image shows two water play toys, not a 'Viking Toys Ecoline Midi Tractor' as described.",,prod_01KNKVJVMX99QTE8M3X7KH0NYW,https://catalogs.leka.studio/api/i/leka-project/_placeholder/leka-coming-soon.png
